course_id	student_id	posttest	master	answer	duration
interactive	385232868	transfer	0	8	14059
interactive	385232868	similar	0	4	37643
interactive	393007256	transfer	1	7	30362
interactive	393007256	similar	1	9	46298
interactive	384866388	transfer	1	7	21436
interactive	384866388	similar	1	9	39462
interactive	382702256	transfer	1	7	2367
interactive	382702256	similar	1	9	20465
interactive	392767497	transfer	1	7	39026
interactive	392767497	similar	1	9	25088
interactive	382588706	transfer	0	8	4197
interactive	382588706	similar	0	3	15361
interactive	384699026	transfer	1	7	6573
interactive	384699026	similar	0	3	13844
interactive	392721908	transfer	1	7	53820
interactive	392721908	similar	1	9	6304
interactive	381682477	transfer	1	7	17638
interactive	381682477	similar	1	9	27574
interactive	390522648	transfer	1	7	28226
interactive	390522648	similar	0	36	42963
interactive	388271516	transfer	0	8	3163
interactive	388271516	similar	0	6	2325
interactive	387249616	transfer	0	8	6504
interactive	389773866	transfer	0	8	52702
interactive	387249616	similar	1	9	58907
interactive	389773866	similar	0	8	28462
interactive	393111316	transfer	0	8	44766
interactive	384561548	transfer	1	7	54825
interactive	384561548	similar	0	8	2778
interactive	385192958	transfer	0	8	22788
interactive	391389726	transfer	0	5	29258
interactive	385192958	similar	0	10	28840
interactive	393111316	similar	1	9	73946
interactive	391389726	similar	1	9	4210
interactive	383847318	transfer	0	8	4106
interactive	383121598	transfer	1	7	15473
interactive	383121598	similar	1	9	19008
interactive	383847318	similar	1	9	37398
interactive	382031826	transfer	0	8	135991
interactive	382031826	similar	1	9	33781
interactive	384426617	transfer	1	7	36601
interactive	384426617	similar	0	5	12924
interactive	381618298	transfer	0	9	37561
interactive	381618298	similar	0	10	121760
interactive	384255098	transfer	0	8	44875
interactive	384255098	similar	0	3	10935
interactive	386207237	transfer	1	7	18736
interactive	386207237	similar	0	3	13079
interactive	381975836	transfer	0	8	6013
interactive	381975836	similar	0	3	9896
interactive	382585257	transfer	0	9	7402
interactive	382585257	similar	0	5	7016
interactive	384730138	transfer	0	8	4052
interactive	384730138	similar	0	7	3083
interactive	381816408	transfer	0	6	38060
interactive	383460387	transfer	0	8	6349
interactive	383460387	similar	0	8	11882
interactive	390609146	transfer	1	7	6539
interactive	392891706	transfer	1	7	29846
interactive	381816408	similar	1	9	54244
interactive	392891706	similar	1	9	3260
interactive	383162257	transfer	1	7	7540
interactive	382317778	transfer	1	7	19429
interactive	382317778	similar	1	9	3243
interactive	390609146	similar	0	10	37220
interactive	383162257	similar	1	9	188954
interactive	381901547	transfer	0	9	103293
interactive	381901547	similar	0	8	7952
interactive	382355017	transfer	0	8	9890
interactive	382355017	similar	0	3	19901
interactive	381904056	transfer	0	8	11485
interactive	381904056	similar	0	6	10817
interactive	384227026	transfer	1	7	34187
interactive	388410868	transfer	1	7	26668
interactive	384227026	similar	0	10	25215
interactive	388410868	similar	1	9	10408
interactive	385659258	transfer	0	4	9631
interactive	382745597	transfer	0	9	21420
interactive	385659258	similar	0	10	54808
interactive	382745597	similar	0	3	36673
interactive	384554527	transfer	1	7	17096
interactive	384554527	similar	1	9	37893
interactive	378786928	transfer	0	9	16208
interactive	381951788	transfer	0	8	11325
interactive	381951788	similar	0	10	6327
interactive	387569626	transfer	1	7	9350
interactive	387569626	similar	0	3	11411
interactive	390489677	transfer	1	7	38814
interactive	390489677	similar	1	9	2304
interactive	385857228	transfer	0	8	2627
interactive	385088117	transfer	0	5	11808
interactive	385088117	similar	0	3	7686
interactive	385857228	similar	0	3	12261
interactive	385112648	transfer	1	7	9897
interactive	385112648	similar	1	9	16939
interactive	381905577	transfer	0	8	37112
interactive	381905577	similar	0	3	28221
interactive	387318818	transfer	0	8	16095
interactive	387318818	similar	0	7	9902
interactive	382380308	transfer	0	9	19799
interactive	382380308	similar	0	3	15066
interactive	382306726	transfer	0	8	7320
interactive	382306726	similar	0	3	4911
interactive	382300976	transfer	0	8	20824
interactive	382300976	similar	0	0.56	16591
interactive	386124757	transfer	1	7	17524
interactive	392908456	transfer	1	7	31036
interactive	392908456	similar	1	9	7173
interactive	386124757	similar	0	6	17267
interactive	385277887	transfer	0	8	25327
interactive	386295697	transfer	0	8	7475
interactive	386295697	similar	0	3	8687
interactive	385277887	similar	0	8	20398
interactive	382933896	transfer	1	7	25145
interactive	381781496	transfer	0	9	21661
interactive	382933896	similar	1	9	20659
interactive	381781496	similar	0	2	3281
interactive	390467158	transfer	0	9	5045
interactive	390467158	similar	0	3	13167
interactive	385145138	transfer	1	7	21008
interactive	389650786	transfer	1	7	11823
interactive	385145138	similar	1	9	33402
interactive	389650786	similar	1	9	12518
interactive	381887888	transfer	0	8	6525
interactive	381887888	similar	0	3	6754
interactive	383637507	transfer	0	8	2902
interactive	383637507	similar	1	9	18811
interactive	392021507	transfer	0	8	23250
interactive	392021507	similar	0	10	14824
interactive	385301708	transfer	1	7	67292
interactive	385301708	similar	1	9	5985
interactive	385896447	transfer	1	7	21189
interactive	386811788	transfer	1	7	37657
interactive	386811788	similar	1	9	53494
interactive	383310906	transfer	1	7	14881
interactive	383310906	similar	1	9	25410
interactive	384041047	transfer	1	7	16104
interactive	384041047	similar	1	9	12060
interactive	392740667	transfer	1	7	38460
interactive	385755966	transfer	1	7	4757
interactive	381883337	transfer	0	8	3832
interactive	381883337	similar	0	5	2988
interactive	392740667	similar	1	9	23556
interactive	384532347	transfer	0	5	2605
interactive	384532347	similar	0	6	3561
interactive	382575706	transfer	0	8	5802
interactive	392968366	transfer	1	7	65397
interactive	392968366	similar	0	7	5815
interactive	385755966	similar	1	9	34784
interactive	384937576	transfer	0	8	11936
interactive	384937576	similar	0	3	5881
interactive	382575706	similar	0	2	4246
interactive	382710278	transfer	0	8	7577
interactive	382710278	similar	0	8	16710
interactive	382181548	transfer	1	7	27315
interactive	381720376	transfer	0	8	2763
interactive	381720376	similar	0	5	3649
interactive	382181548	similar	1	9	40460
interactive	388859457	transfer	1	7	73948
interactive	383226206	transfer	1	7	23809
interactive	383226206	similar	1	9	2855
interactive	388859457	similar	1	9	5786
interactive	383844246	transfer	0	455769	18579
interactive	383844246	similar	0	5874	2044
interactive	383954616	transfer	0	8	7956
interactive	383954616	similar	0	30	6440
interactive	381534337	transfer	0	8	4853
interactive	382823758	transfer	1	7	14687
interactive	389132586	transfer	0	6	32912
interactive	382823758	similar	0	30	14265
interactive	386301278	transfer	1	7	9436
interactive	386301278	similar	0	6	10139
interactive	386445618	transfer	0	8	24914
interactive	389132586	similar	1	9	37348
interactive	383074106	transfer	1	7	5901
interactive	386445618	similar	0	6	13678
interactive	392851198	transfer	1	7	33369
interactive	383074106	similar	1	9	8277
interactive	382300968	transfer	1	7	24468
interactive	392851198	similar	1	9	46040
interactive	382300968	similar	1	9	2285
interactive	385896447	similar	1	9	689412
interactive	388945387	transfer	0	8	21389
interactive	388945387	similar	0	3	28227
interactive	383613066	transfer	0	45	4331
interactive	383613066	similar	0	6	2628
interactive	393030587	transfer	1	7	40300
interactive	389311427	transfer	0	8	25311
interactive	386535907	transfer	1	7	1951
interactive	385574577	transfer	0	6	35391
interactive	389311427	similar	1	9	11763
interactive	385574577	similar	1	9	15416
interactive	385929786	transfer	1	7	3011
interactive	391939897	transfer	1	7	154664
interactive	386535907	similar	0	8	19157
interactive	383495526	transfer	1	7	2231
interactive	383495526	similar	0	6	8766
interactive	391667706	transfer	0	8	7603
interactive	384945368	transfer	0	8	22787
interactive	382954327	transfer	1	7	10100
interactive	390047556	transfer	1	7	6670
interactive	384945368	similar	0	6	39268
interactive	390047556	similar	0	10	10258
interactive	382954327	similar	0	8	11848
interactive	391939897	similar	1	9	3691
interactive	381583257	transfer	0	8	4647
interactive	381583257	similar	0	10	7113
interactive	385890407	transfer	1	7	45517
interactive	392636028	transfer	1	7	23183
interactive	385890407	similar	1	9	2194
interactive	383830186	transfer	1	7	18278
interactive	383657517	transfer	0	8	4965
interactive	392636028	similar	1	9	33235
interactive	387151587	transfer	0	8	15012
interactive	383657517	similar	0	11	10524
interactive	387151587	similar	0	5	5937
interactive	391820646	transfer	0	8	4782
interactive	390008247	transfer	1	7	3255
interactive	391820646	similar	0	10	31897
interactive	383653728	transfer	0	8	15552
interactive	383653728	similar	0	1	5076
interactive	383830186	similar	1	9	52236
interactive	381919116	transfer	1	7	761454
interactive	387945988	transfer	0	8	12730
interactive	391336288	transfer	0	8	17589
interactive	381782797	transfer	0	9	12833
interactive	387945988	similar	0	15	10463
interactive	384165568	transfer	1	7	3941
interactive	381782797	similar	1	9	24024
interactive	391336288	similar	0	21	35931
interactive	390008247	similar	0	4	54577
interactive	384691916	transfer	1	7	2797
interactive	384896497	transfer	1	7	31209
interactive	381445878	transfer	1	7	43818
interactive	384896497	similar	1	9	2871
interactive	385481258	transfer	1	7	32764
interactive	384691916	similar	0	7Ôº?Ôº?0	38450
interactive	385481258	similar	1	9	19356
interactive	381445878	similar	1	9	40674
interactive	387833198	transfer	0	8	28780
interactive	382520316	transfer	1	7	31649
interactive	384165568	similar	1	9	24089
interactive	387833198	similar	0	1	19574
interactive	382520316	similar	1	9	29375
interactive	382260838	transfer	1	7	40105
interactive	382260838	similar	0	10	13867
interactive	387046148	transfer	0	8	3547
interactive	387046148	similar	1	9	23694
interactive	393026226	transfer	0	8	27208
interactive	384780726	transfer	0	8	4206
interactive	384366996	transfer	0	2	29096
interactive	381446857	transfer	1	7	15016
interactive	384366996	similar	0	3	4974
interactive	384780726	similar	0	3	20154
interactive	381446857	similar	0	8	21531
interactive	392998496	transfer	0	8	33313
interactive	382268118	transfer	0	8	23157
interactive	382268118	similar	0	11	8410
interactive	392998496	similar	0	10	17116
interactive	393026226	similar	1	9	11152
interactive	382022076	transfer	1	7	4379
interactive	383882947	transfer	0	9	15290
interactive	383882947	similar	0	3	10711
interactive	382022076	similar	0	10	9529
interactive	393102936	transfer	1	7	27862
interactive	393102936	similar	1	9	28076
interactive	384909068	transfer	1	7	9700
interactive	382758777	transfer	0	9	18710
interactive	384909068	similar	0	10	19728
interactive	384100347	transfer	1	7	30746
interactive	381571337	transfer	0	8	28422
interactive	382758777	similar	1	9	82703
interactive	381571337	similar	0	5	4041
interactive	384571906	transfer	1	7	17753
interactive	384100347	similar	1	9	105542
interactive	384571906	similar	1	9	47411
interactive	381919116	similar	1	9	5555
interactive	383785387	transfer	1	7	14297
interactive	383785387	similar	1	9	27653
interactive	383494257	transfer	0	9	48897
interactive	384215616	transfer	0	8	4039
interactive	384215616	similar	0	5	1853
interactive	383494257	similar	0	7	33937
interactive	383878318	transfer	0	8	5776
interactive	382433236	transfer	1	7	11724
interactive	381420478	transfer	1	7	29119
interactive	381420478	similar	1	9	20654
interactive	387881158	transfer	1	7	25643
interactive	387881158	similar	1	9	5190
interactive	393070168	transfer	1	7	167336
interactive	387879907	transfer	0	8	16205
interactive	387879907	similar	0	3	7034
interactive	386163916	transfer	1	7	10302
interactive	386163916	similar	1	9	11080
interactive	382704326	transfer	0	8	38330
interactive	386904998	transfer	0	5	15307
interactive	382704326	similar	1	9	13111
interactive	386904998	similar	0	5	11755
interactive	393070168	similar	1	9	137256
interactive	381924928	transfer	1	7	11871
interactive	384004706	transfer	0	8	8168
interactive	384004706	similar	0	6	4547
interactive	381924928	similar	1	9	16027
interactive	384827608	transfer	0	4	3974
interactive	384827608	similar	0	3	6675
interactive	384403238	transfer	1	7	14490
interactive	385897417	transfer	0	10	22810
interactive	384403238	similar	0	8	16235
interactive	385897417	similar	0	37	27645
interactive	388573707	transfer	1	7	5659
interactive	392892926	transfer	1	7	13168
interactive	392892926	similar	1	9	10611
interactive	381699087	transfer	1	7	12680
interactive	381699087	similar	0	5	3314
interactive	387198456	transfer	0	8	5392
interactive	387198456	similar	0	6	4507
