degree,age,income,edu
bachelor,18,17999.99805,16
tech,18,13031.6875,14
tech,18,15600.00098,14
tech,18,13199.99609,14
tech,18,2999.999023,14
tech,18,56399.98047,14
tech,18,21000.00397,14
associate,18,2100.000397,14
tech,18,40400.00386,14
tech,18,35999.98438,14
tech,18,36199.98433,14
tech,18,23116.72852,14
tech,18,29999.99219,14
tech,18,35999.98438,14
tech,18,10000.00293,14
tech,18,19200,14
high,18,35999.98438,12
high,18,4999.999512,12
high,18,11999.99707,12
high,18,17999.99805,12
high,18,20000.00391,12
high,18,4999.999512,12
high,18,23999.99805,12
high,18,9000.000977,12
high,18,21599.99219,12
high,18,19100.00198,12
high,18,18150.00781,12
high,18,23999.99805,12
high,18,10000.00293,12
high,18,10000.00293,12
high,18,24119.99416,12
high,18,35999.98438,12
high,18,8699.999756,12
high,18,8699.999756,12
secondary,18,20000.00391,9
secondary,18,1499.999756,9
secondary,18,3199.999969,9
secondary,18,10000.00293,9
secondary,18,2999.999023,9
secondary,18,9599.999023,9
secondary,18,5999.999512,9
secondary,18,4800.000977,9
secondary,18,3,9
secondary,18,1999.999878,9
secondary,18,17999.99805,9
secondary,18,8400.000977,9
secondary,18,2999.999023,9
secondary,18,15000.00391,9
secondary,18,21599.99219,9
secondary,18,10000.00293,9
secondary,18,12999.99512,9
secondary,18,11999.99707,9
secondary,18,5999.999512,9
secondary,18,23999.99365,9
secondary,18,7450.002396,9
secondary,18,27899.99018,9
secondary,18,9599.999023,9
secondary,18,23999.99805,9
secondary,18,23999.99805,9
secondary,18,60049.98047,9
secondary,18,23519.99213,9
secondary,18,18600.00195,9
secondary,18,35499.99219,9
secondary,18,2999.999023,9
secondary,18,11999.99707,9
secondary,18,10000.00293,9
secondary,18,2399.999512,9
secondary,18,15000.00391,9
secondary,18,20000.00391,9
secondary,18,10000.00293,9
secondary,18,17999.99805,9
secondary,18,28000,9
secondary,18,12070.01563,9
secondary,18,10000.00293,9
secondary,18,15499.99805,9
secondary,18,15000.00391,9
secondary,18,10000.00293,9
secondary,18,15499.99805,9
secondary,18,1999.999878,9
secondary,18,20000.00391,9
secondary,18,15000.00391,9
secondary,18,10000.00293,9
secondary,18,7499.999023,9
secondary,18,27499.98828,9
secondary,18,48000.01172,9
secondary,18,9599.999023,9
secondary,18,11999.99707,9
secondary,18,10000.00293,9
secondary,18,17400.00293,9
secondary,18,29999.99219,9
secondary,18,15600.00098,9
secondary,18,549.999939,9
secondary,18,35999.98438,9
secondary,18,22199.99707,9
secondary,18,23999.99805,9
secondary,18,21599.99219,9
secondary,18,17999.99805,9
secondary,18,20000.00391,9
secondary,18,23600.00342,9
secondary,18,21599.99219,9
secondary,18,11999.99707,9
secondary,18,39999.99609,9
secondary,18,45000.01563,9
secondary,18,29999.99219,9
